filename,audio_id,ground_truth,transcript,wer,cer,latency,response,llm_source,llm_mode,llm_enabled
2222_audio10.wav,audio10,Apa perbedaan umrah dan hajj secara detail dalam Islam,Apa perbedaan umrah dan hajj secara detail dalam Islam?,0.111,0.019,25.44,"Perbedaan utama terletak pada status kewajiban dan waktu pelaksanaannya. Haji adalah rukun Islam kelima yang wajib bagi yang mampu pada waktu tertentu, sementara umrah adalah ibadah sunah yang dapat dilakukan kapan saja.",gemini,normalize,True
2222_audio12.wav,audio12,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,0.111,0.016,25.26,Proses visa umrah dari Indonesia ke Arab Saudi kini dapat diajukan secara daring melalui platform resmi atau melalui agen perjalanan yang berlisensi. Calon jamaah disarankan menghubungi biro perjalanan umrah terpercaya untuk panduan dan pengajuan.,gemini,normalize,True
2222_audio14.wav,audio14,How to prepare dokumen umrah dari Indonesia dengan benar,How to prepare dagumen umrah dari Indonesia dengan benar,0.111,0.036,24.47,"Persiapan dagumen umrah mencakup kesehatan fisik, kelengkapan dokumen perjalanan, serta barang bawaan esensial. Pastikan juga kesiapan mental spiritual dan konsultasi dengan biro perjalanan terpercaya untuk panduan lebih lanjut.",gemini,normalize,True
2222_audio2.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umrah simpel tapi include marina visit,0.222,0.089,25.81,Permintaan Anda untuk paket umrah yang mencakup kunjungan ke marina dapat kami akomodasi. Kami akan menyiapkan opsi yang sesuai dengan kebutuhan Anda.,gemini,normalize,True
2222_audio3.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jedah ke Madinah tomorrow?,0.182,0.03,26.22,"Tentu, saya dapat membantu Anda. Mohon informasikan detail lebih lanjut mengenai kebutuhan transportasi Anda.",gemini,normalize,True
2222_audio4.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visas OD dengan benar.,0.3,0.127,26.2,Prosedur pengajuan visa OD memerlukan pemenuhan persyaratan dan langkah-langkah spesifik. Informasi detail dapat Anda peroleh melalui situs web resmi kedutaan atau konsulat negara tujuan terkait.,gemini,normalize,True
2222_audio5.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya, aku uridu bookflag ilajedah al-Rasbun al-Qadim hal bisa bantu ajidah afdal schedule wari halatan mubashirah.",0.882,0.695,38.92,"Mohon perjelas objek yang Anda maksud dengan ""bookflag ilajedah al-Rasbun al-Qadim"". Dengan informasi yang lebih spesifik, saya dapat membantu Anda mencari jadwal dan ketersediaan.",gemini,normalize,True
2222_audio6.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uri dulu range transport menjedah ilam adina wadan.,1.0,0.526,22.84,Mohon dapat Anda perjelas permintaan Anda terkait transportasi. Kami kesulitan memahami maksud kalimat tersebut.,gemini,normalize,True
2222_audio7.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan","Book flight ke Jeddah lalu lanjut ke Madinah, skedul terbaik kapan?",0.182,0.059,24.05,"Untuk pemesanan penerbangan ke Jeddah dilanjutkan ke Madinah, saya tidak memiliki akses langsung ke jadwal penerbangan real-time. Anda dapat memeriksa skedul terbaik melalui situs web maskapai penerbangan atau agen perjalanan daring.",gemini,normalize,True
2301_audio1.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Aku mau book fly ke Jedah minggu depan, bisa bantu schedule",0.273,0.094,23.47,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2301_audio11.wav,audio11,Kenapa fasting di رمضان itu wajib bagi Muslim,Kenapa fasting di Ramadan itu wajib bagi muslim?,0.25,0.2,22.4,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2301_audio12.wav,audio12,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,Bagaimana proses visa Saudi untuk omroh dari Indonesia sekarang?,0.222,0.048,22.87,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2301_audio14.wav,audio14,How to prepare dokumen umrah dari Indonesia dengan benar,How to prepare dokumen umrah dari Indonesia dengan benar,0.0,0.0,22.96,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2301_audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,0.222,0.045,20.8,"Persiapan umrah memerlukan penguatan rohani, fisik, serta kelengkapan dokumen perjalanan. Barang wajib meliputi pakaian ihram, identitas diri, obat pribadi, dan perlengkapan mandi dasar.",gemini,normalize,True
2301_audio2.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umur simple tapi include Madinah Visit,0.222,0.071,21.63,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2301_audio3.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jedah ke Madinah tomorrow?,0.182,0.03,22.2,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2301_audio4.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,21.0,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2301_audio5.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya, aku uri du book flight ilajidah ul usbu an kadim. Hal bisa bantu ajidah afdol schedule wari halatan mubasiroh?",0.882,0.656,28.93,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2301_audio6.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uridu Range Transport Menjeda Ila Madinahodan,1.0,0.526,22.04,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2302_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Aku mau buka flight ke Jedah minggu depan, bisa bantu schedule.",0.273,0.078,23.58,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2302_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh Transval Umrah Simpal tapi include Madinah Visit.,0.444,0.179,22.86,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2302_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jedah ke Madinah tomorrow?,0.182,0.03,22.87,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2302_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Expense step by step cara apply visa Saudi dengan benar.,0.2,0.091,22.09,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2302_audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya, akhi, uridubuh flight ilajidah al-usbu al-khadim hal bisa bantu ajidah afdala schedule wari hlatan Mubassiruh.",0.824,0.695,29.56,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2302_audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Udhidu Range Transport Minjida ilam Madinahada,1.0,0.544,22.38,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2302_audio11.wav,audio11,Kenapa fasting di رمضان itu wajib bagi Muslim,Kenapa fasting di ramadan itu wajib bagi muslim?,0.25,0.2,23.25,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2302_audio14.wav,audio14,How to prepare dokumen umrah dari Indonesia dengan benar,How to prepare dokumen umrah dari Indonesia dengan benar?,0.111,0.018,26.1,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2302_audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,0.222,0.045,23.72,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2302_audio17.wav,audio17,Menurut kamu belajar bahasa Arab itu susah gak untuk pemula,"Menurut kamu, belajar bahasa Arab itu susah nggak untuk pemula.",0.3,0.068,23.23,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2303_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Aku membuka flight ke Jeddah minggu depan, bisa bantu schedule",0.273,0.109,22.49,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2303_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,"Aku butuh travel umrah simple, tapi include Madinah Visit",0.222,0.036,22.36,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2303_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help me arrange transport dari Jeddah ke Madinah tomorrow?,0.182,0.061,18.79,"Tentu, saya dapat membantu Anda mengatur transportasi dari Jeddah ke Madinah besok. Mohon informasikan preferensi Anda.",gemini,normalize,True
2303_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,19.34,Pengajuan visa Arab Saudi umumnya dilakukan melalui platform daring resmi atau kedutaan. Pastikan untuk memeriksa persyaratan terkini dan jenis visa yang sesuai dengan tujuan kunjungan Anda.,gemini,normalize,True
2303_audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya akhir, uridu bukfrayk ilajadah al-usbu'an kadim, hal bisa bantu ajidah afdol skedol warih latan mubashirah.",0.941,0.756,29.02,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2303_audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uridu Orange transport Min Jeddah ila Madinah Radhan,0.625,0.421,23.09,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2303_audio07.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan","buk flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan?",0.182,0.059,23.63,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2303_audio13.wav,audio13,Jelaskan step by step cara booking flight ke Jeddah secara online,Jelaskan step by step cara booking flight ke Jeddah secara online,0.0,0.0,22.6,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2303_audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,0.222,0.045,23.97,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2303_audio19.wav,audio19,احيانا saya bingung mulai dari mana untuk umrah,Ahianan saya bingung mulai dari mana untuk umrah,0.125,0.149,22.15,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2304_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",Aku mau buka flight ke Jedah minggu depan. Bisa bantu schedule?,0.364,0.094,23.48,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2304_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umrah simpel tapi include Madinah Visit,0.222,0.054,22.97,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2304_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jedah ke Madinah tomorrow?,0.182,0.03,22.21,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2304_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,21.04,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2304_audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya, aku ingin menerbang ke Jendah Al-Usbu Al-Qadim. Bisa membantu Jendah Afdal kejadian dari Selatan Mubashiroh?",1.0,0.809,27.84,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2304_audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uridu Range Transport Minjid dah ilam adina Koden,1.0,0.544,39.17,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2304_audio07.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan","Book flight ke Jedah lanjut ke Madinah, schedule terbaik kapan?",0.273,0.103,24.95,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2304_audio11.wav,audio11,Kenapa fasting di رمضان itu wajib bagi Muslim,Kenapa fasting di Ramadan itu wajib bagi muslim?,0.25,0.2,23.74,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2304_audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,0.222,0.045,24.76,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2304_audio18.wav,audio18,"I feel overwhelmed dengan persiapan umrah, ada tips sederhana?",I feel overwhelmed dengan persiapan umrah. Ada tips sederhana?,0.222,0.032,22.93,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2305_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",Aku mau book flight ke Jedah minggu depan. Bisa bantu schedule.,0.364,0.062,29.11,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2305_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umrah simpel tapi include mandina visit.,0.333,0.107,23.27,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2305_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jedah ke Madinah tomorrow?,0.182,0.03,22.2,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2305_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,21.88,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2305_audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya ahli, uridu book flight ila jeddah al-usbu al-qadim. Hal bisa bantu ajida afdal skejul wari hlatan mubashiroh?",0.824,0.664,72.7,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2305_audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uridu Range Transport Minjeddah Ilamadina Wadan,1.0,0.526,22.9,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2305_audio11.wav,audio11,Kenapa fasting di رمضان itu wajib bagi Muslim,Kenapa fasting di Ramadan itu wajib bagi muslim?,0.25,0.2,21.9,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2305_audio12.wav,audio12,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,0.111,0.016,22.3,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2305_audio14.wav,audio14,How to prepare dokumen umrah dari Indonesia dengan benar,How to prepare dokumen umrah dari Indonesia dengan benar,0.0,0.0,21.56,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2305_audio18.wav,audio18,"I feel overwhelmed dengan persiapan umrah, ada tips sederhana?",I feel overwhelmed dengan persiapan umrah. Ada tips sederhana.,0.333,0.048,22.95,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2306_Audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Aku mau book flight ke Jadwal minggu depan, bisa bantu schedule?",0.091,0.047,22.67,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2306_Audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umrah simpel tapi include Madinah Visit,0.222,0.054,22.06,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2306_Audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku orange transport dari Jeddah ke Madinah tomorrow?,0.182,0.045,22.35,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2306_Audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar,0.0,0.0,22.42,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2306_Audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya, aku sudah buku flike ilajit dah, al-usbu al-qadim. Aku bisa bantu aja dah, afdalskejul wari latar moba surah.",1.0,0.748,49.04,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2306_Audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,uridu restoran spart menjika ilam adina hukaden,1.0,0.684,23.77,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2306_Audio11.wav,audio11,Kenapa fasting di رمضان itu wajib bagi Muslim,Kenapa fasting di Ramadan itu wajib bagi muslim?,0.25,0.2,21.54,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2306_Audio12.wav,audio12,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,0.111,0.016,22.23,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2306_Audio13.wav,audio13,Jelaskan step by step cara booking flight ke Jeddah secara online,Jelaskan step by step cara bukin flight ke jendah secara online,0.182,0.077,23.29,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2306_Audio14.wav,audio14,How to prepare dokumen umrah dari Indonesia dengan benar,How to prepare dokumen umrah dari Indonesia dengan benar,0.0,0.0,21.48,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2306_Audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umrah termasuk barang wajib di bawah,0.222,0.03,23.5,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2307_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,0.182,0.031,23.26,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2307_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,"Aku butuh travel omrah, simple, tapi include Madinah Visit.",0.333,0.089,22.1,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2307_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,0.091,0.015,22.02,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2307_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,20.93,"Untuk visa Saudi, biasanya diperlukan paspor aktif dan dokumen umrah.",fallback,normalize,True
2307_audio05.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,"Ya Aki, uridu buk flight ilajedah al-usbu al-qadim. Hal bisa bantu ajit afdal skejul wari hutan mubasir hutan?",0.941,0.702,29.42,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2307_audio06.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Uridu Arrange Transport Minjid Dah ila Madinah Khadan,0.875,0.509,23.27,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
2307_audio07.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan","Buk flight ke Jeddah, lalu lanjut ke Madinah. Skejul terbaik, kapan?",0.545,0.162,25.36,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2307_audio10.wav,audio10,Apa perbedaan umrah dan hajj secara detail dalam Islam,Apa perbedaan umrah dan haji secara detail dalam Islam?,0.222,0.037,22.48,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2307_audio15.wav,audio15,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa,Tolong buat checklist persiapan umurah termasuk barang wajib di bawah.,0.333,0.061,24.07,"Maaf, saya belum memahami permintaan tersebut.",fallback,normalize,True
2307_audio17.wav,audio17,Menurut kamu belajar bahasa Arab itu susah gak untuk pemula,"Menurut kamu, belajar bahasa Arab itu susah nggak untuk pemula?",0.3,0.068,19.55,"Tingkat kesulitan belajar bahasa Arab bagi pemula sangat bervariasi, bergantung pada latar belakang linguistik dan metode pembelajaran yang digunakan. Dengan dedikasi dan sumber daya yang tepat, proses belajar dapat menjadi lebih mudah.",gemini,normalize,True
2308_audio01.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",Aku mau book flight ke Jedah minggu depan. Bisa bantu schedule?,0.273,0.047,24.49,"Baik, aku bisa bantu arrange flight ke Jeddah minggu depan.",fallback,normalize,True
2308_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Aku butuh travel umrah simpel tapi include Madinah Visit,0.222,0.054,22.93,"Baik, aku bisa bantu carikan transport dari Jeddah ke Madinah.",fallback,normalize,True
